tiempo_key,anio,mes,periodo
1,2025,1,2
2,2025,1,1
3,2025,1,3
4,2025,1,4
5,2025,1,5
6,2025,2,2
7,2025,2,4
8,2025,2,3
9,2025,2,5
10,2025,2,1
11,2025,3,1
12,2025,3,2
13,2025,3,3
14,2025,3,4
15,2025,3,5
16,2025,4,1
17,2025,4,4
18,2025,4,2
19,2025,4,3
20,2025,5,1
21,2025,5,2
22,2025,5,3
23,2025,5,4
24,2025,6,1
25,2025,6,2
26,2025,6,4
27,2025,6,3
28,2025,7,1
29,2025,7,4
30,2025,7,3
31,2025,7,2
32,2025,8,2
33,2025,8,3
34,2025,8,1
35,2025,8,4
36,2025,9,1
37,2025,9,2
38,2025,9,3
39,2025,9,4
40,2025,10,3
41,2025,10,2
42,2025,10,1
43,2025,10,4
44,2025,11,1
45,2025,11,4
46,2025,11,2
47,2025,11,3
48,2025,12,1
49,2025,12,2
50,2025,12,3
51,2025,12,4
