variable,nulos,porcentaje_nulos
I1174$11,27260,100.0
I1174$01,27260,100.0
I1174$05,27260,100.0
I1174$02,27260,100.0
I1174$17,27260,100.0
I1174$12,27260,100.0
I1174$13,27260,100.0
I1174$14,27260,100.0
P107D1,27216,99.83859134262656
D107D1,27216,99.83859134262656
I1172$10,27204,99.79457079970653
I1173$10,27204,99.79457079970653
I1174$10,27204,99.79457079970653
I1173$09,27172,99.67718268525311
I1174$09,27172,99.67718268525311
I1172$09,27172,99.67718268525311
D107D2,27170,99.66984592809978
P107D2,27170,99.66984592809978
I1172$17,27166,99.6551724137931
I1173$17,27166,99.6551724137931
P107D4,27156,99.61848862802641
D107D4,27156,99.61848862802641
I1172$06,26749,98.12545854732208
I1173$06,26749,98.12545854732208
I1174$06,26749,98.12545854732208
P107D3,26709,97.97872340425532
D107D3,26709,97.97872340425532
I1173$16,26176,96.02347762289068
I1174$16,26176,96.02347762289068
I1172$16,26176,96.02347762289068
I1173$11,26132,95.86206896551724
I1172$11,26132,95.86206896551724
I1172$07,25943,95.16874541452678
I1173$07,25943,95.16874541452678
I1174$07,25943,95.16874541452678
I1172$05,25504,93.55832721936905
I1173$05,25504,93.55832721936905
P105B,24980,91.63609684519443
I105B,24980,91.63609684519443
P110C2,24084,88.34922964049889
P110C3,24084,88.34922964049889
I1173$13,20934,76.7938371239912
I1172$13,20934,76.7938371239912
I1173$15,18541,68.01540719002202
I1172$15,18541,68.01540719002202
I1174$15,18541,68.01540719002202
P106B,18291,67.09831254585474
I1172$08,16963,62.22670579603815
I1174$08,16963,62.22670579603815
I1173$08,16963,62.22670579603815
P110C1,7063,25.90975788701394
P106A,6442,23.631694790902422
I1173$04,6054,22.208363903154808
I1174$04,6054,22.208363903154808
I1172$04,6054,22.208363903154808
P110C,3885,14.2516507703595
P110A1,3885,14.2516507703595
I1173$14,2795,10.253118121790168
P114B2,2795,10.253118121790168
P114B3,2795,10.253118121790168
P114B1,2795,10.253118121790168
I1172$14,2795,10.253118121790168
P106,2210,8.107116654438737
I106,2210,8.107116654438737
P112A,1900,6.969919295671313
I1173$02,1900,6.969919295671313
I1172$02,1900,6.969919295671313
I1173$12,1794,6.581071166544388
I1172$12,1794,6.581071166544388
I1173$01,817,2.997065297138665
I1172$01,817,2.997065297138665
P113A,591,2.1680117388114453
P101,285,1.045487894350697
P104A,285,1.045487894350697
P103A,285,1.045487894350697
P102,285,1.045487894350697
P104,285,1.045487894350697
P103,285,1.045487894350697
PERIODO,0,0.0
CONGLOME,0,0.0
MES,0,0.0
AÑO,0,0.0
ESTRATO,0,0.0
DOMINIO,0,0.0
UBIGEO,0,0.0
HOGAR,0,0.0
VIVIENDA,0,0.0
P1144,0,0.0
P117T4,0,0.0
T110,0,0.0
P117T2,0,0.0
P117T3,0,0.0
P1125,0,0.0
P1121,0,0.0
P1124,0,0.0
P1132,0,0.0
P1131,0,0.0
P110A,0,0.0
P110,0,0.0
P107B3,0,0.0
P107B4,0,0.0
P110A_MODIFICADA,0,0.0
P110D,0,0.0
P110E,0,0.0
P111A,0,0.0
RESULT,0,0.0
P105A,0,0.0
P107B1,0,0.0
FECENT,0,0.0
P107B2,0,0.0
P1143,0,0.0
P1146,0,0.0
P1145,0,0.0
P1142,0,0.0
P1141,0,0.0
P1135,0,0.0
P1133,0,0.0
P1136,0,0.0
P1139,0,0.0
P1137,0,0.0
P1138,0,0.0
P1123,0,0.0
P1127,0,0.0
P1126,0,0.0
T111A,0,0.0
NBI1,0,0.0
NBI2,0,0.0
NBI3,0,0.0
NBI4,0,0.0
NBI5,0,0.0
FACTOR07,0,0.0
CODCCPP,0,0.0
NOMCCPP,0,0.0
LONGITUD,0,0.0
LATITUD,0,0.0
ALTITUD,0,0.0
hogar_id,0,0.0
