,count,mean,std,min,25%,50%,75%,max
FACTOR07_num,27260.0,276.3732823328333,259.27879359206406,1.66457009315491,115.98282623291,214.708984375,348.816070556641,1845.74096679688
P104_num,26975.0,3.20433734939759,1.6134087771048655,1.0,2.0,3.0,4.0,15.0
P104A_num,26975.0,1.8680630213160334,1.2119715655635448,0.0,1.0,2.0,3.0,13.0
P105B_num,2280.0,845.030701754386,6594.370972634594,10.0,150.0,300.0,510.0,99999.0
P106_num,25050.0,2699.0035528942117,15338.308760807022,5.0,65.0,160.0,390.0,99999.0
I105B_num,2280.0,4907.68399122807,4753.7826995115565,121.0,1812.0,3553.5,6087.0,47497.0
I106_num,25050.0,3391.364031936128,4675.659051789523,59.0,777.0,1884.5,4379.0,202142.0
P110A_MODIFICADA_num,27260.0,0.23312179022215127,0.42777930438975903,0.0,0.0,0.0,0.4,3.40000009536743
P110C1_num,20197.0,18.128434916076646,8.580571378446468,1.0,10.0,24.0,24.0,24.0
P110C2_num,3176.0,2.9238035264483626,1.210656157535939,1.0,2.0,3.0,4.0,6.0
P110C3_num,3176.0,5.474496221662468,6.791656163772929,1.0,2.0,3.0,5.0,24.0
P107D1_num,44.0,104934.95454545454,215695.79490687686,2000.0,9750.0,42500.0,80000.0,999999.0
P107D2_num,90.0,31309.11111111111,30921.82839211018,1500.0,10000.0,20000.0,40000.0,160000.0
P107D3_num,551.0,19774.310344827587,75162.68245237277,250.0,3000.0,7000.0,20000.0,999999.0
P107D4_num,104.0,44893.24038461538,105645.57318010682,1000.0,9999.5,20000.0,45000.0,999999.0
D107D1_num,44.0,105103.45454545454,215567.9236208559,2017.0,9910.0,43010.0,80666.0,999999.0
D107D2_num,90.0,31407.966666666667,30976.7231489036,1515.0,10047.25,20058.0,39918.5,160834.0
D107D3_num,551.0,19842.91833030853,75167.36238026484,250.0,3005.5,7259.0,19910.0,999999.0
D107D4_num,104.0,44979.528846153844,105620.6910677554,1000.0,9937.5,20291.0,45054.25,999999.0
LONGITUD_num,27260.0,-75.80575645979194,2.9973903934139536,-81.306533974,-78.14927168,-76.160980262,-73.80271692575,-68.777628333
LATITUD_num,27260.0,-10.282722162815665,3.930151440674345,-18.301944258,-13.39579795575,-10.515193333,-6.75473,-0.231525
ALTITUD_num,27260.0,1487.6511943406656,1460.5086193743573,0.710621060455,134.0,729.880704903,2981.25,4989.53685209
